Group,Tag,count,mean,median,std,min,25%,50%,75%,max
ARTS,CitationControversy,20,0.17536350204383616,0.1522199247325689,0.14446165315306153,0,0.0663746183459445,0.17060687301974164,0.23113752682846295,0.5556520229206459
"DECI, ECON, PSYC, SOCI",CitationControversy,80,0.07598600199707796,0.04329519931129568,0.09396483725630163,0,0.014285714285714287,0.04330410306376529,0.09887284951552303,0.45498414449193436
