Group,Tag,count,mean,median,std,min,25%,50%,75%,max
"BIOC, CHEM, ENVI, PHYS, IMMU",CitationControversy,100,0.01499831002849365,0,0.024149605168823682,0,0,0,0.023741690408357077,0.12437810945273632
"DECI, ECON, PSYC, SOCI",CitationControversy,80,0.07598600199707792,0.04329519931129568,0.09396483725630161,0,0.014285714285714287,0.04330410306376529,0.09887284951552303,0.45498414449193436
