Group,Tag,count,mean,median,std,min,25%,50%,75%,max
"BIOC, CHEM, ENVI, IMMU, PHYS",SignpostingAcademicWritingMoves,100,1.1026273460740004,1.075886340140578,0.43913954157639545,0.17625027539105528,0.8946191290619656,1.0790114862513052,1.3362224629830264,2.2838499184339316
"DECI, ECON, PSYC, SOCI",SignpostingAcademicWritingMoves,80,1.1021987601585335,1.0392787631210432,0.578587065024174,0.20600353148911124,0.7894253717642739,1.0407632263660018,1.3174404015056462,4.053303720155469
